,1stFlrSF,2ndFlrSF,BedroomAbvGr,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,BsmtFullBath,BsmtHalfBath,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,FullBath,GarageArea,GarageCars,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageYrBlt,GrLivArea,HalfBath,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,KitchenAbvGr,LotArea,LowQualFinSF,MSSubClass,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,MasVnrArea,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,OverallCond,OverallQual,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,YearBuilt,YearRemodAdd
551,928,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,288,1,1,0,0,0,1,0,0,0,0,1957.0,928,0,0,0,1,0,0,0,0,0,1,6000,0,20,0,0,0,0,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,1,0,0,0,0,0,0,1,0,1957,1957
206,1696,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,349,1,0,1,0,0,1,0,0,0,0,1962.0,1696,1,0,0,1,0,0,0,0,0,1,13673,0,20,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,1,0,1962,1962
1269,874,650,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,315,1,0,0,1,0,1,0,0,0,0,1958.0,1524,1,1,0,0,0,0,0,0,0,1,11344,0,50,0,0,0,1,0,180.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,0,0,1,0,1958,1958
484,999,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,264,1,0,0,1,0,0,0,0,0,1,1963.0,999,0,0,0,1,0,0,0,0,0,1,7758,0,20,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,1,0,1962,2001
285,625,625,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,528,2,0,1,0,0,0,0,0,0,1,2006.0,1250,1,0,0,0,0,0,1,0,0,1,4251,0,160,0,1,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,0,1,0,0,0,0,0,0,0,0,0,1,2006,2007
199,1713,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,856,3,1,0,0,0,1,0,0,0,0,2004.0,1713,0,0,0,1,0,0,0,0,0,1,9591,0,20,0,0,0,1,0,262.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,0,0,0,1,0,2004,2005
738,1200,0,3,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1200,0,0,0,1,0,0,0,0,0,1,10800,0,90,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,0,1,0,0,0,1987,1988
817,1689,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,857,3,0,1,0,0,1,0,0,0,0,2002.0,1689,0,0,0,1,0,0,0,0,0,1,13265,0,20,0,0,0,1,0,148.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,1,0,0,0,0,0,0,1,0,2002,2002
599,716,840,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,452,2,1,0,0,0,1,0,0,0,0,1980.0,1556,1,0,0,0,0,0,1,0,0,1,1950,0,160,0,0,0,0,1,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,1,0,1980,1980
767,983,767,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,423,1,0,0,1,0,1,0,0,0,0,1989.0,1750,0,1,0,0,0,0,0,0,0,1,12508,0,50,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,1,0,0,0,0,0,0,0,0,1,0,1940,1985
395,1144,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,596,1,0,0,1,0,1,0,0,0,0,1956.0,1144,0,0,0,1,0,0,0,0,0,1,9571,0,20,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,1,0,1956,1956
961,1542,1330,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,619,2,1,0,0,0,1,0,0,0,0,1977.0,2872,1,0,0,0,0,0,1,0,0,1,12227,0,60,0,0,0,1,0,424.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,6,0,1,0,0,0,0,0,0,0,0,1,0,1977,1995
59,780,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,352,1,0,0,1,0,0,0,0,0,1,1973.0,780,0,0,0,1,0,0,0,0,0,1,7200,0,20,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,1,0,1972,1972
622,980,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,484,2,0,0,1,0,0,0,0,0,1,1986.0,980,0,0,0,1,0,0,0,0,0,1,7064,0,20,0,0,0,1,0,153.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,1,0,1977,1977
1122,960,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,288,1,0,0,1,0,0,1,0,0,0,1956.0,960,0,0,0,1,0,0,0,0,0,1,8926,0,20,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,1,0,0,0,0,0,1956,1956
1428,804,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,240,1,0,0,1,0,1,0,0,0,0,1940.0,804,0,0,0,1,0,0,0,0,0,1,7200,0,30,0,0,0,0,1,294.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,5,0,1,0,0,0,0,1,0,0,0,0,0,1940,1992
1399,1160,448,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,216,1,0,0,1,0,0,0,0,0,1,1925.0,1608,1,1,0,0,0,0,0,0,0,1,6171,0,50,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,0,1,0,0,0,0,0,0,0,0,1,0,1925,1990
510,1363,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,288,1,0,0,1,0,0,0,0,1,0,1951.0,1363,0,0,0,1,0,0,0,0,0,1,14559,0,20,0,0,0,1,0,70.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,1,0,0,0,0,0,0,1,0,1951,2000
943,1632,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,576,2,0,0,1,0,1,0,0,0,0,1967.0,1632,0,0,0,1,0,0,0,0,0,2,25000,0,90,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,1,0,1967,1967
1395,1133,1349,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,642,3,1,0,0,0,0,0,1,0,0,2005.0,2482,1,0,0,0,0,0,1,0,0,1,12665,0,60,0,0,0,1,0,245.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,0,0,0,1,0,0,0,0,0,0,1,0,2005,2006
1241,1689,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,954,3,0,1,0,0,1,0,0,0,0,2007.0,1689,0,0,0,1,0,0,0,0,0,1,9849,0,20,0,0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,7,0,0,0,1,0,0,0,0,0,0,0,1,2007,2007
1244,792,725,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,400,2,0,0,1,0,0,0,0,0,1,1931.0,1517,0,0,0,0,0,0,1,0,0,1,11435,0,70,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,1,0,0,0,0,0,0,0,0,1,0,1929,1950
393,788,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,788,0,0,0,1,0,0,0,0,0,1,7446,0,30,0,0,0,1,0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,1,0,0,0,0,1,0,0,0,0,0,1941,1950
1226,894,1039,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,668,3,1,0,0,0,0,0,1,0,0,2007.0,1933,1,0,0,0,0,0,1,0,0,1,14598,0,60,0,0,0,1,0,74.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,6,0,1,0,0,0,0,0,0,0,0,1,0,2007,2007
84,804,670,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,400,2,1,0,0,0,0,0,1,0,0,1995.0,1474,1,0,0,0,0,0,0,0,1,1,8530,0,80,0,0,0,1,0,22.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,0,0,0,0,0,0,0,0,1,0,1995,1996
248,840,828,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,500,2,0,1,0,0,1,0,0,0,0,2003.0,1668,1,0,0,0,0,0,1,0,0,1,11317,0,60,0,0,0,1,0,101.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,0,0,0,0,0,0,0,0,1,0,2003,2003
1150,932,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,306,1,0,0,1,0,1,0,0,0,0,1950.0,932,0,0,0,1,0,0,0,0,0,1,8280,0,20,0,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,1,0,0,0,0,0,0,0,0,1,0,1950,1950
